initiative_id,title,authors,type,url
263670,Pela proteção do Perímetro Florestal das Dunas de Ovar,PAN,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e5441354f4459794d3245744d4445304e5330304f5755794c54677a5a546b744f57517a4f574e6b4f4445774d6a49774c6d52765933673d&fich=5098623a-0145-49e2-83e9-9d39cd810220.docx&Inline=true
263580,Acesso a Nutrição Entérica,BE,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d32566b4d6a55324e6a41744e6d49324e5330304f47466d4c546c694e6a49745a54566c4e6a453459574a694e7a41344c6d52765933673d&fich=3ed25660-6b65-48af-9b62-e5e618abb708.docx&Inline=true
263634,Recomenda ao Governo que na estrita defesa do interesse público proceda à renegociação dos contratos de parcerias público-privadas do sector rodoviário,PAN,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d457659544d35596a63324f4445744d6a426d4e693030596d52684c5468694f5745744f57597a5a6a49344e6d49324e6a6b344c6d52765933673d&fich=a39b7681-20f6-4bda-8b9a-9f3f286b6698.docx&Inline=true
263661,Recomenda ao Governo que priorize o lançamento de concurso internacional para a concessão de serviços marítimos regulares de passageiros e carga rodada entre a Região Autónoma da Madeira e a República,CH,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6a5131596d4d3359575174595759314f5330304e7a566c4c5749794f4759744d54517a5a5751344e7a426a593255314c6d52765933673d&fich=645bc7ad-af59-475e-b28f-143ed870cce5.docx&Inline=true
263635,Prevê a implementação de um plano gradual de isenção do pagamento de portagens,CH,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d6d51335a5459304f4463744e6d497a4e5330304d5455354c546b785a4459744d5751304d4455785a6a6378597a426d4c6d52765933673d&fich=2d7e6487-6b35-4159-91d6-1d4051f71c0f.docx&Inline=true
263658,"Um novo caminho para a habitação: dinamizar a oferta, corrigir erros e dar resposta à crise","PSD, CDS-PP",Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d6a67344e6a45334e4451744e47466d4f5330304f574d794c54686b4d544d745954497a4e5459344e5464684e4463794c6d52765933673d&fich=28861744-4af9-49c2-8d13-a2356857a472.docx&Inline=true
263866,Recomenda ao Governo a aprovação do Plano Ferroviário Nacional,PS,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a4745774e6a46684f446374596d55304e6930305a5467334c54686d4d6d59744d44566c5a5449304e474d784e7a4d7a4c6d52765933673d&fich=da061a87-be46-4e87-8f2f-05ee244c1733.docx&Inline=true
273895,Recomenda ao Governo que ative os procedimentos necessários para adjudicar a totalidade das obras previstas no Circuito Hidráulico de Reguengos de Monsaraz e cumpra a totalidade das metas fixadas no Programa Nacional de Regadios,PS,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576595749794e4751334e5759744d5467784f4330304e4752684c57457a59574d744f4445794d574532593245794e544d354c6d52765933673d&fich=ab24d75f-1818-44da-a3ac-8121a6ca2539.docx&Inline=true
263665,Formação de equipa de projeto para a substituição do cabo submarino de telecomunicações Interilhas dos Açores,PSD,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e474e684d6d59324e5451745a6d49354d7930304e3246694c574a69595751745a6a4a6d596a56684d444133597a41324c6d52765933673d&fich=4ca2f654-fb93-47ab-bbad-f2fb5a007c06.docx&Inline=true
263825,"Recomenda ao Governo uma maior divulgação da possibilidade de prorrogação por mais dois anos da isenção de IMI na compra de casa própria, aprovada pela Lei n.º 56/2023, de 6 de Outubro",PAN,Projeto de Resolução,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e474d354e4749344d5751744d44526d4d4330304f4759304c546b354f474d744d6d55344d544d324e5467344d4468684c6d52765933673d&fich=4c94b81d-04f0-48f4-998c-2e813658808a.docx&Inline=true
